time,rc_on,rc_w,rc_to,mode,batt_w,batt_a,soc,grid_w,health,pwr_sw,axle
2026-09-07T17:04:43,off,0,0,35,978,18.6,78,-5,Healthy,On,upcoming
2026-09-07T17:04:57,off,0,0,35,973,18.5,78,-15,Healthy,On,upcoming
2026-09-07T17:05:14,off,0,0,35,978,18.6,78,3,Healthy,On,upcoming
2026-09-07T17:05:28,off,0,0,35,983,18.7,78,8,Healthy,On,upcoming
2026-09-07T17:05:42,off,0,0,35,994,18.9,78,0,Healthy,On,upcoming
2026-09-07T17:05:59,off,0,0,35,988,18.8,78,0,Healthy,On,upcoming
2026-09-07T17:06:13,off,0,0,35,1004,19.1,78,11,Healthy,On,upcoming
2026-09-07T17:06:27,off,0,0,35,994,18.9,78,1,Healthy,On,upcoming
2026-09-07T17:06:44,off,0,0,35,994,18.9,78,3,Healthy,On,upcoming
2026-09-07T17:06:58,off,0,0,35,1004,19.1,78,1,Healthy,On,upcoming
2026-09-07T17:07:12,off,0,0,35,1004,19.1,78,-7,Healthy,On,upcoming
2026-09-07T17:07:29,off,0,0,35,994,18.9,78,-18,Healthy,On,upcoming
2026-09-07T17:07:43,off,0,0,35,1015,19.3,78,15,Healthy,On,upcoming
2026-09-07T17:07:58,off,0,0,35,1004,19.1,78,-13,Healthy,On,upcoming
2026-09-07T17:08:14,off,0,0,35,1009,19.2,78,3,Healthy,On,upcoming
2026-09-07T17:08:28,off,0,0,35,1009,19.2,78,13,Healthy,On,upcoming
2026-09-07T17:08:43,off,0,0,35,1015,19.3,78,-9,Healthy,On,upcoming
2026-09-07T17:08:59,off,0,0,35,1020,19.4,78,0,Healthy,On,upcoming
2026-09-07T17:09:13,off,0,0,35,952,18.1,78,0,Healthy,On,upcoming
2026-09-07T17:09:28,off,0,0,35,941,17.9,78,0,Healthy,On,upcoming
2026-09-07T17:09:44,off,0,0,35,936,17.8,78,4,Healthy,On,upcoming
2026-09-07T17:09:58,off,0,0,35,936,17.8,78,-9,Healthy,On,upcoming
2026-09-07T17:10:13,off,0,0,35,946,18.0,78,16,Healthy,On,upcoming
2026-09-07T17:10:29,off,0,0,35,946,18.0,77,7,Healthy,On,upcoming
2026-09-07T17:10:43,off,0,0,35,941,17.9,77,1,Healthy,On,upcoming
2026-09-07T17:10:58,off,0,0,35,941,17.9,77,0,Healthy,On,upcoming
2026-09-07T17:11:14,off,0,0,35,946,18.0,77,16,Healthy,On,upcoming
2026-09-07T17:11:28,off,0,0,35,946,18.0,77,-2,Healthy,On,upcoming
2026-09-07T17:11:43,off,0,0,35,957,18.2,77,11,Healthy,On,upcoming
2026-09-07T17:11:59,off,0,0,35,941,17.9,77,-5,Healthy,On,upcoming
2026-09-07T17:12:14,off,0,0,35,952,18.1,77,10,Healthy,On,upcoming
2026-09-07T17:12:28,off,0,0,35,946,18.0,77,-2,Healthy,On,upcoming
2026-09-07T17:12:44,off,0,0,35,946,18.0,77,-4,Healthy,On,upcoming
2026-09-07T17:12:59,off,0,0,35,946,18.0,77,4,Healthy,On,upcoming
2026-09-07T17:13:13,off,0,0,35,957,18.2,77,22,Healthy,On,upcoming
2026-09-07T17:13:29,off,0,0,35,946,18.0,77,-13,Healthy,On,upcoming
2026-09-07T17:13:44,off,0,0,35,957,18.2,77,17,Healthy,On,upcoming
2026-09-07T17:13:58,off,0,0,35,946,18.0,77,-5,Healthy,On,upcoming
2026-09-07T17:14:14,off,0,0,35,946,18.0,77,-13,Healthy,On,upcoming
2026-09-07T17:14:29,off,0,0,35,941,17.9,77,-14,Healthy,On,upcoming
2026-09-07T17:14:43,off,0,0,35,952,18.1,77,6,Healthy,On,upcoming
2026-09-07T17:14:59,off,0,0,35,946,18.0,77,-2,Healthy,On,upcoming
2026-09-07T17:15:14,off,0,0,35,810,15.4,77,-24,Healthy,On,upcoming
2026-09-07T17:15:28,off,0,0,35,836,15.9,77,4,Healthy,On,upcoming
2026-09-07T17:15:42,off,0,0,35,831,15.8,77,7,Healthy,On,upcoming
2026-09-07T17:15:59,off,0,0,35,820,15.6,77,3,Healthy,On,upcoming
